Company,Sector,NSE_Symbol,CMP_BHAV,MCap_INR_crs,EPS_FY0,EPS_FY1,EPS_FY2,EPS_FY3,Revenue_FY0,Revenue_FY1,Revenue_FY2,Revenue_FY3,BVPS_FY0,BVPS_FY1,BVPS_FY2,BVPS_FY3,PAT_FY0,PAT_FY1,PAT_FY2,PAT_FY3,PE_FY0,PB_FY0,PS_FY0,PE_FY1,PB_FY1,PS_FY1,PE_FY2,PB_FY2,PS_FY2,PE_FY3,PB_FY3,PS_FY3,PE_Avg3,PB_Avg3,PS_Avg3
EXCHANGES,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSE,DIVERSIFIED FINANCIALS,BSE,2684.8,93036.02,32.18,47.71,57.24,70.11,2957.34,3908.25,4680.2,5431.36,108.92,140.45,229.49,179.66,1325.8899999999999,1954.333,2325.7419999999997,2833.4790000000003,83.42,24.65,31.46,56.27,19.12,23.81,46.91,11.7,19.88,38.29,14.94,17.13,47.16,15.25,20.27
MULTI CMOD.EX.OF INDIA,DIVERSIFIED FINANCIALS,MCX,10307.0,40737.53,109.82,152.21,182.82,208.77,1112.66,1477.76,1712.04,1948.04,551.89,457.77,641.29,555.82,560.0398,772.1414,939.8629000000001,1144.105,93.85,18.68,36.61,67.71,22.52,27.57,56.38,16.07,23.79,49.37,18.54,20.91,57.82,19.04,24.09
INDIAN ENERGY EXCHANGE,DIVERSIFIED FINANCIALS,IEX,141.4,12794.36,4.66,5.4,5.0,5.02,535.37,621.77,579.45,574.34,12.31,15.08,19.65,17.3,414.64799999999997,475.25,445.8,447.7398,30.34,11.49,23.9,26.19,9.38,20.58,28.28,7.2,22.08,28.17,8.17,22.28,27.55,8.25,21.64
Average - Exchanges,NAN,NAN,,146567.91,,,,,4605.37,6007.78,6971.69,7953.74,,,,,2300.5778,3201.7244,3711.4049,4425.3238,,,31.83,,,24.4,,,21.02,,,18.43,,,21.28
Median - Exchanges,NAN,NAN,,146567.91,,,,,4605.37,6007.78,6971.69,7953.74,,,,,2300.5778,3201.7244,3711.4049,4425.3238,,,31.83,,,24.4,,,21.02,,,18.43,,,21.28
FINTECH,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONE 97 COMMUNICATIONS,DIVERSIFIED FINANCIALS,PAYTM,1336.0,81452.14,-23.29,8.96,21.1,32.15,6900.4,8616.39,10716.37,12921.06,235.58,239.75,299.84,261.72,-1482,556.6699,1316.394,2097.75,-57.36,5.67,11.8,149.12,5.57,9.45,63.31,4.46,7.6,41.55,5.1,6.3,84.66,5.04,7.79
PB FINTECH,DIVERSIFIED FINANCIALS,POLICYBZR,1888.9,87101.08,6.76,15.31,24.96,33.75,4977.21,6589.51,8490.01,10607.16,140.45,154.21,208.38,178.09,311.96,707.0086,1124.627,1547.095,279.42,13.45,17.5,123.4,12.25,13.22,75.67,9.06,10.26,55.96,10.61,8.21,85.01,10.64,10.56
ONE MOBIKWIK SYSTEMS,DIVERSIFIED FINANCIALS,MOBIKWIK,236.44,1775.93,,-6.2,5.0,,,1578.0,2001.6,,,66.7,,71.8,n.a.,-57,40.2,n.a.,,,,-38.14,3.54,1.13,47.29,,0.89,,3.29,,4.58,3.42,1.01
