Company,Sector,NSE_Symbol,CMP_BHAV,MCap_INR_crs,EPS_FY0,EPS_FY1,EPS_FY2,EPS_FY3,Revenue_FY0,Revenue_FY1,Revenue_FY2,Revenue_FY3,BVPS_FY0,BVPS_FY1,BVPS_FY2,BVPS_FY3,PAT_FY0,PAT_FY1,PAT_FY2,PAT_FY3,PE_FY0,PB_FY0,PS_FY0,PE_FY1,PB_FY1,PS_FY1,PE_FY2,PB_FY2,PS_FY2,PE_FY3,PB_FY3,PS_FY3,PE_Avg3,PB_Avg3,PS_Avg3
FINO PAYMENTS BANK,DIVERSIFIED FINANCIALS,FINOPB,258.85,2217.77,,12.96,16.22,20.33,,2135.19,2614.5,3168.47,,97.55,126.74,110.51,n.a.,107.8605,135.0182,169.1893,,,,19.97,2.65,1.04,15.95,2.04,0.85,12.73,2.34,0.7,16.22,2.35,0.86
MEDI ASSIST HEALTHCARE SERVICES,DIVERSIFIED FINANCIALS,MEDIASSIST,437.0,3912.75,12.85,14.17,19.43,23.5,723.32,954.13,1082.27,1222.7,,90.9,127.9,107.7,90.87899999999999,103.8667,142.86669999999998,172.7333,34.01,,5.41,30.85,4.81,4.1,22.49,3.42,3.62,18.6,4.06,3.2,23.98,4.09,3.64
Average - Fintech,NAN,NAN,,176459.67,,,,,12600.93,19873.22,24904.75,27919.39,,,,,-1079.161,1418.4057,2759.1058999999996,3986.7676,,,14.0,,,8.88,,,7.09,,,6.32,,,7.43
Median - Fintech,NAN,NAN,,176459.67,,,,,12600.93,19873.22,24904.75,27919.39,,,,,-1079.161,1418.4057,2759.1058999999996,3986.7676,,,14.0,,,8.88,,,7.09,,,6.32,,,7.43
RATING,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRISIL,DIVERSIFIED FINANCIALS,CRISIL,4378.2,38023.95,93.55,106.0,124.0,144.0,3259.75,3526.3,3972.4,4478.2,,,26.0,23.0,684.0699,776.7,909.4,1056.1,46.8,,11.66,41.3,,10.78,35.31,168.39,9.57,30.4,190.36,8.49,35.67,179.37,9.62
ICRA,DIVERSIFIED FINANCIALS,ICRA,6101.0,6046.59,176.5,205.0,234.0,267.0,498.02,557.6,627.9,707.4,,,,,170.0093,200,230,258,34.57,,12.14,29.76,,10.84,26.07,,9.63,22.85,,8.55,26.23,,9.67
CARE RATINGS,DIVERSIFIED FINANCIALS,CARERATING,1552.2,4829.98,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
Average - Rating,NAN,NAN,,48900.52,,,,,3757.77,4083.9,4600.3,5185.6,,,,,854.0791999999999,976.7,1139.4,1314.1,,,13.01,,,11.97,,,10.63,,,9.43,,,10.68
Median - Rating,NAN,NAN,,48900.52,,,,,3757.77,4083.9,4600.3,5185.6,,,,,854.0791999999999,976.7,1139.4,1314.1,,,13.01,,,11.97,,,10.63,,,9.43,,,10.68
RTA,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL DEPOSITORY SERVICES (INDIA),DIVERSIFIED FINANCIALS,CDSL,1499.6,32225.7,25.2,26.23,32.2,37.8,1082.21,1183.21,1403.21,1595.86,84.23,95.86,133.95,114.24,526.641,537.3801000000001,663.4698999999999,765.1,59.51,17.8,29.78,57.17,15.64,27.24,46.57,11.2,22.97,39.67,13.13,20.19,47.8,13.32,23.46
COMPUTER AGE MANAGEMENT SERVICES,DIVERSIFIED FINANCIALS,CAMS,758.1,19004.63,95.03,96.46,112.24,125.98,1422.48,1528.29,1738.79,1950.97,226.29,258.91,307.35,298.34,470.1938,478.99219999999997,558.7538999999999,639.5285,7.98,3.35,13.36,7.86,2.93,12.44,6.75,2.47,10.93,6.02,2.54,9.74,6.88,2.65,11.04
KFIN TECHNOLOGIES,DIVERSIFIED FINANCIALS,KFINTECH,1078.1,19109.85,19.27,21.65,26.48,30.89,1090.75,1303.93,1583.23,1878.46,81.81,94.75,131.72,110.62,332.625,371.5227,459.0586,559.3398,55.95,13.18,17.52,49.81,11.38,14.66,40.72,8.19,12.07,34.91,9.75,10.17,41.81,9.77,12.3
AURIONPRO SOLUTIONS,DIVERSIFIED FINANCIALS,AURIONPRO,1125.2,7325.72,34.21,42.7,57.7,,1172.97,1512.64,1944.13,,,,,,186.1743,232.82,314.5,n.a.,32.89,,6.25,26.35,,4.84,19.5,,3.77,,,,22.93,,4.31
CMS INFO SYSTEMS,DIVERSIFIED FINANCIALS,CMSINFO,352.75,7322.31,22.36,24.72,28.47,32.6,2424.53,2729.05,3104.08,3485.8,137.9,154.78,202.3,176.95,372.457,413.55,476.05,548.9,15.78,2.56,3.02,14.27,2.28,2.68,12.39,1.74,2.36,10.82,1.99,2.1,12.49,2.01,2.38
Average - RTA,NAN,NAN,,84988.22,,,,,7192.94,8257.12,9773.43,8911.09,,,,,1888.0911,2034.2649999999999,2471.8324,2512.8683,,,11.82,,,10.29,,,8.7,,,9.54,,,9.51
Median - RTA,NAN,NAN,,84988.22,,,,,7192.94,8257.12,9773.43,8911.09,,,,,1888.0911,2034.2649999999999,2471.8324,2512.8683,,,11.82,,,10.29,,,8.7,,,9.54,,,9.51
Average - Diversified Financials,NAN,NAN,,961932.41,,,,,59294.8,71302.14,85015.14,93927.85,,,,,15630.562100000001,20640.254499999995,25353.2486,29746.276699999995,,,16.22,,,13.49,,,11.31,,,10.24,,,11.68
Median - Diversified Financials,NAN,NAN,,961932.41,,,,,59294.8,71302.14,85015.14,93927.85,,,,,15630.562100000001,20640.254499999995,25353.2486,29746.276699999995,,,16.22,,,13.49,,,11.31,,,10.24,,,11.68
Average - BFSI,NAN,NAN,,10599137.88,,,,,2896829.16,2992276.97,3425948.54,3691891.33,,,,,542719.609,587859.8909,682623.0735,759061.1709,,,3.66,,,3.54,,,3.09,,,2.87,,,3.17
Median - BFSI,NAN,NAN,,10599137.88,,,,,2896829.16,2992276.97,3425948.54,3691891.33,,,,,542719.609,587859.8909,682623.0735,759061.1709,,,3.66,,,3.54,,,3.09,,,2.87,,,3.17
IT,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARGE CAP IT,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATA CONSULTANCY SVS.,IT,TCS,3282.0,1136296.0,134.19,141.18,152.16,164.69,255324.0,262443.0,281542.3,302210.9,261.9,280.71,297.6,299.24,48553,51374.19,55557.159999999996,59712.45,24.46,12.53,4.45,23.25,11.69,4.33,21.57,11.03,4.04,19.93,10.97,3.76,21.58,11.23,4.04
INFOSYS,IT,INFY,1638.7,635097.1,64.34,68.55,74.38,80.29,162990.0,172649.6,185186.9,199099.8,231.24,243.97,277.11,259.77,26713,28425.370000000003,30903.109999999997,33421.97,25.47,7.09,3.9,23.9,6.72,3.68,22.03,5.91,3.43,20.41,6.31,3.19,22.12,6.31,3.43
HCL TECHNOLOGIES,IT,HCLTECH,1642.4,407533.5,64.09,64.25,72.22,78.08,117055.0,125213.1,135194.0,145400.3,257.13,259.49,263.7,266.74,17390,17536.54,19760.920000000002,21284.18,25.63,6.39,3.48,25.56,6.33,3.25,22.74,6.23,3.01,21.04,6.16,2.8,23.11,6.24,3.02
WIPRO,IT,WIPRO,264.45,265809.6,12.52,13.04,13.82,14.34,89088.4,90299.73,95414.18,101298.2,79.19,88.74,98.31,92.75,13135.4,13331.41,14083.6,14940,21.12,3.34,2.98,20.28,2.98,2.94,19.14,2.69,2.79,18.44,2.85,2.62,19.29,2.84,2.78
Average - Large Cap IT,NAN,NAN,,2444736.2,,,,,624457.4,650605.43,697337.38,748009.2,,,,,105791.4,110667.51000000001,120304.79,129358.6,,,3.91,,,3.76,,,3.51,,,3.27,,,3.51
Median - Large Cap IT,NAN,NAN,,2444736.2,,,,,624457.4,650605.43,697337.38,748009.2,,,,,105791.4,110667.51000000001,120304.79,129358.6,,,3.91,,,3.76,,,3.51,,,3.27,,,3.51
MID / SMALL CAP IT,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTIMINDTREE,IT,LTIM,6197.5,156882.3,155.0,172.95,198.61,222.42,38008.1,40882.56,44891.09,49478.01,766.25,851.85,1077.19,963.93,4598.7,5133.529,5903.428,6629.963000000001,39.98,8.09,4.13,35.83,7.28,3.84,31.2,5.75,3.49,27.86,6.43,3.17,31.63,6.49,3.5
TECH MAHINDRA,IT,TECHM,1612.5,149544.4,47.91,59.45,74.3,84.41,52988.3,55040.68,59141.33,63666.38,283.88,324.97,343.42,341.25,4251.5,5291.941000000001,6638.225,7561.475,33.66,5.68,2.82,27.12,4.96,2.72,21.7,4.7,2.53,19.1,4.73,2.35,22.64,4.79,2.53
PERSISTENT SYSTEMS,IT,PERSISTENT,6358.0,84730.51,90.24,112.5,136.82,162.31,11938.72,14175.53,16664.09,19354.57,405.46,476.2,666.66,561.37,1400.161,1743.181,2129.314,2527.495,70.46,15.68,7.1,56.51,13.35,5.98,46.47,9.54,5.08,39.17,11.33,4.38,47.39,11.4,5.15
MPHASIS,IT,MPHASIS,2890.2,55509.26,89.36,99.16,113.32,126.69,14229.99,15548.28,17298.13,19108.84,506.56,560.21,664.99,608.98,1702.139,1889.648,2166.5150000000003,2430.8810000000003,32.34,5.71,3.9,29.15,5.16,3.57,25.5,4.35,3.21,22.81,4.75,2.9,25.82,4.75,3.23
Hexaware Technologies Limited,IT,HEXT ,,50160.47,,,,,,13330.41,14855.52,16720.14,,,,,n.a.,1428.643,1626.257,1894.486,,,,,,3.76,,,3.38,,,3.0,,,3.38
COFORGE,IT,COFORGE,1845.4,59012.23,24.41,42.05,52.88,61.92,12050.7,15907.26,18618.1,21164.66,190.77,218.75,289.15,251.28,812.1,1433.0520000000001,1825.747,2175.651,75.61,9.67,4.9,43.88,8.44,3.71,34.9,6.38,3.17,29.8,7.34,2.79,36.19,7.39,3.22
INVENTURUS KNOWLEDGE SOLUTIONS,IT,IKS,1695.6,26748.68,,38.25,49.36,61.66,,3114.15,3709.18,4394.05,,143.08,242.88,187.36,n.a.,647.7,835.5,1044.05,,,,44.33,11.85,8.59,34.35,6.98,7.21,27.5,9.05,6.09,35.39,9.29,7.3
SAGILITY INDIA,IT,SAGILITY,52.0,21388.99,1.17,1.56,1.96,2.43,5569.92,6896.58,7827.22,8829.12,17.81,19.34,23.89,21.37,539.1229999999999,727.5602,919.8602000000001,1135.46,44.44,2.92,3.84,33.42,2.69,3.1,26.56,2.18,2.73,21.36,2.43,2.42,27.11,2.43,2.75
SONATA SOFTWARE,IT,SONATSOFTW,344.6,10590.46,15.28,17.33,22.0,24.95,10157.25,11092.04,12316.0,13671.33,61.45,70.4,103.5,84.8,424.6699,488.25699999999995,622.0854999999999,697.375,22.55,5.61,1.04,19.89,4.89,0.95,15.66,3.33,0.86,13.81,4.06,0.77,16.45,4.1,0.86
BIRLASOFT,IT,BSOFT,433.45,10546.28,18.48,17.11,22.08,25.87,5375.24,5350.95,5825.52,6433.52,125.17,134.56,164.84,147.61,516.7601999999999,487.2723,619.9667999999999,700.8563,23.46,3.46,1.96,25.33,3.22,1.97,19.63,2.63,1.81,16.76,2.94,1.64,20.57,2.93,1.81
ZENSAR TECHNOLOGIES,IT,ZENSARTECH,741.5,18422.05,28.43,31.12,35.66,40.57,5280.6,5762.02,6395.13,7207.13,179.2,196.1,235.3,216.64,649.8,713.2418,813.5917999999999,918.95,26.08,4.14,3.49,23.82,3.78,3.2,20.79,3.15,2.88,18.28,3.42,2.56,20.96,3.45,2.88
HAPPIEST MINDS TECHNOLOGIES PVT,IT,HAPPSTMNDS,483.7,8945.64,12.26,17.64,22.3,25.45,2060.84,2353.52,2737.56,3069.45,104.94,114.17,143.05,127.4,184.66,254.18,325.91999999999996,374.95,39.45,4.61,4.34,27.42,4.24,3.8,21.69,3.38,3.27,19.01,3.8,2.91,22.71,3.8,3.33
INDEGENE,IT,INDGN,531.65,13658.75,17.02,19.5,22.34,25.67,2839.3,3150.45,3526.31,3980.02,108.98,127.57,170.48,147.85,406.7,469.6723,543.8336,631.8301,31.24,4.88,4.81,27.27,4.17,4.34,23.8,3.12,3.87,20.71,3.6,3.43,23.93,3.63,3.88
MASTEK,IT,MASTEK,2153.3,8057.45,118.21,131.36,153.64,172.07,3455.23,3931.91,4467.53,4758.0,795.85,850.65,,962.43,368.32,394.85,462.85,540.2332,18.22,2.71,2.33,16.39,2.53,2.05,14.01,,1.8,12.51,2.24,1.69,14.31,2.38,1.85
Average - Mid / Small Cap IT,NAN,NAN,,674197.47,,,,,163954.19,196536.35,218272.71,241835.22,,,,,15854.633100000001,21102.727600000002,25433.093899999996,29263.6556,,,4.11,,,3.43,,,3.09,,,2.79,,,3.1
Median - Mid / Small Cap IT,NAN,NAN,,674197.47,,,,,163954.19,196536.35,218272.71,241835.22,,,,,15854.633100000001,21102.727600000002,25433.093899999996,29263.6556,,,4.11,,,3.43,,,3.09,,,2.79,,,3.1
ER&D,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L&T TECHNOLOGY SERVICES,IT,LTTS,4515.2,46383.78,119.44,130.32,154.98,178.2,10670.1,12062.5,13497.56,15049.97,574.24,640.65,770.17,698.18,1266.7,1400.0819999999999,1656.292,1886.577,37.8,7.86,4.35,34.65,7.05,3.85,29.14,5.86,3.44,25.34,6.47,3.08,29.71,6.46,3.45
TATA ELXSI,IT,TATAELXSI,5413.5,34549.5,126.01,110.65,136.73,156.35,3729.05,3760.34,4252.69,4784.11,459.18,495.36,444.3,556.82,784.9367,699.2832000000001,861.2418,985.1890999999999,42.96,11.79,9.26,48.92,10.93,9.19,39.59,12.18,8.12,34.62,9.72,7.22,41.05,10.94,8.18
TATA TECHNOLOGIES,IT,TATATECH,654.2,27795.13,16.66,17.44,20.3,23.26,5168.45,5268.11,5902.26,6575.3,88.24,92.03,104.62,98.07,676.95,705.975,831.15,943.8668,39.27,7.41,5.38,37.51,7.11,5.28,32.22,6.25,4.71,28.12,6.67,4.23,32.62,6.68,4.74
KPIT TECHNOLOGIES,IT,KPITTECH,1224.6,32712.56,30.7,30.65,37.47,44.34,5842.34,6525.89,7583.42,8723.64,107.18,128.83,189.45,156.49,839.6,833.8133,1023.007,1204.911,39.89,11.43,5.6,39.95,9.51,5.01,32.68,6.46,4.31,27.62,7.83,3.75,33.42,7.93,4.36
CYIENT,IT,CYIENT,1157.6,13725.61,55.51,59.19,70.47,82.09,7360.4,7335.39,8134.62,9154.71,482.01,512.18,602.61,552.12,615.7,665.85,802.625,938.4777,20.85,2.4,1.86,19.56,2.26,1.87,16.43,1.92,1.69,14.1,2.1,1.5,16.7,2.09,1.69
